country,year,Inflation
Argentina,2023,135.368876310592
Argentina,2022,69.8760842459268
Argentina,2021,53.8020877665554
Argentina,2020,40.0830878011993
Argentina,2019,49.1955790596612
Argentina,2018,42.0336689575031
Argentina,2017,26.0063792819079
Argentina,2016,41.1193799882279
Argentina,2015,26.5799916024707
Argentina,2014,40.2829716315506
Argentina,2013,23.9487984162746
Argentina,2012,22.3148806733049
Argentina,2011,23.7034721839593
Argentina,2010,20.915124272047
Argentina,2009,15.3776493708921
Argentina,2008,23.1711649813124
Argentina,2007,14.9399250245835
Argentina,2006,13.7410524859152
Argentina,2005,10.3175111982406
Argentina,2004,18.3633542492033
Argentina,2003,10.4957030215496
Argentina,2002,30.555204053903
Argentina,2001,-1.09576771833679
Argentina,2000,1.03728710073175
Argentina,1999,-1.83655839220664
Argentina,1998,-1.70527962400085
Argentina,1997,-0.46391313116429
Argentina,1996,-0.0523754965904146
Argentina,1995,3.16512339016516
Argentina,1994,2.84933971509302
Argentina,1993,-3.56109557576575
Argentina,1992,16.0719935356945
Argentina,1991,140.502378661012
Argentina,1990,2078.31681806978
Argentina,1989,3046.09115201119
Argentina,1988,381.24634440952
Argentina,1987,127.539918059086
Argentina,1986,77.2922366864133
Argentina,1985,607.447497830085
Argentina,1984,611.196303891913
Argentina,1983,380.158528521919
Argentina,1982,194.535299663443
Argentina,1981,105.276366380064
Argentina,1980,95.7904246128352
Argentina,1979,147.377044034473
Argentina,1978,161.372172004157
Argentina,1977,159.42717769645
Argentina,1976,438.322779739816
Argentina,1975,197.697364543187
Argentina,1974,30.630441370412
Argentina,1973,65.535287370144
Argentina,1972,64.2447859149364
Argentina,1971,31.2710638842292
Argentina,1970,6.46787463920629
Argentina,1969,7.79583003393792
Argentina,1968,10.2753105598205
Argentina,1967,29.0182629355813
Argentina,1966,25.603462425178
Argentina,1965,21.2329349264853
Argentina,1964,28.7746173194355
Argentina,1963,25.5911543466798
Argentina,1962,28.8718416496811
Argentina,1961,20.3106975290508
Argentina,1960,
