period_ending,fiscal_period,fiscal_year,current_ratio,quick_ratio,cash_ratio,days_of_sales_outstanding,days_of_inventory_outstanding,operating_cycle,days_of_payables_outstanding,cash_conversion_cycle,gross_profit_margin,operating_profit_margin,pretax_profit_margin,net_profit_margin,effective_tax_rate,return_on_assets,return_on_equity,return_on_capital_employed,net_income_per_ebt,ebt_per_ebit,ebit_per_revenue,debt_ratio,debt_equity_ratio,long_term_debt_to_capitalization,total_debt_to_capitalization,cash_flow_to_debt_ratio,company_equity_multiplier,receivables_turnover,payables_turnover,inventory_turnover,fixed_asset_turnover,asset_turnover,operating_cash_flow_per_share,free_cash_flow_per_share,cash_per_share,payout_ratio,operating_cash_flow_sales_ratio,free_cash_flow_operating_cash_flow_ratio,cash_flow_coverage_ratios,short_term_coverage_ratios,capital_expenditure_coverage_ratio,dividend_paid_and_capex_coverage_ratio,dividend_payout_ratio,price_book_value_ratio,price_to_book_ratio,price_to_sales_ratio,price_earnings_ratio,price_to_free_cash_flows_ratio,price_to_operating_cash_flows_ratio,price_cash_flow_ratio,price_earnings_to_growth_ratio,price_sales_ratio,dividend_yield,enterprise_value_multiple,price_fair_value,interest_coverage,Stock
2024-09-28,FY,2024,0.8673125765340832,0.8260068483831466,0.1697525964896367,61.83255974529134,12.642570548414088,74.47513029370543,119.65847721913744,-45.18334692543202,0.4620634981523393,0.3151022287007556,0.3157901466620635,0.2397125576994386,0.2409118516418998,0.2568250315085758,1.6459350307287095,0.6533607652660827,0.7590881483581001,1.0021831580314244,0.3151022287007556,0.2921502548084826,1.872326602282704,0.6009110021023125,0.6518501763673821,1.109022873702276,6.408779631255487,5.903038811648023,3.0503480278422272,28.870710952511665,8.560310858143607,1.0713874732862074,7.706965094592383,7.091275991064264,4.247388013764271,0.1625202696936075,0.3024128274962599,0.920112638895936,1.109022873702276,5.663777000814215,12.517624642743728,4.791296949070135,0.1625202696936075,61.37243774486391,61.37243774486391,8.93822887866815,37.287278415656736,32.12256867269569,29.55638142954995,29.55638142954995,-45.93792700808932,8.93822887866815,0.0043585983369965,26.524727497716487,61.37243774486391,,AAPL
2023-09-30,FY,2023,0.9880116717592976,0.9444421504665952,0.206217138767308,58.07564866874519,10.791292490321617,68.8669411590668,106.72146803214764,-37.85452687308083,0.4413112957720756,0.2982141226502472,0.296740023742124,0.2530623426432028,0.1471917422803685,0.2750983456377647,1.5607601454639075,0.551446146423833,0.8528082577196314,0.9950569111381352,0.2982141226502472,0.3150690759338936,1.7875325845589418,0.6052392537493568,0.6412597988847455,0.995093979547746,5.673462491552152,6.284906124456834,3.420117870661705,33.82356657716001,7.04878990731205,1.087077369016657,7.021174930677783,6.325110448392176,3.909686030394244,0.1549048920047425,0.2884094081427658,0.9008621079579892,0.995093979547746,6.99329411020434,10.08696048909572,4.254271859605911,0.1549048920047425,43.37479145093811,43.37479145093811,7.032807935374461,27.790811789370583,27.06830203155125,24.384807626986785,24.384807626986785,170.91349250462116,7.032807935374461,0.0055739606737213,22.06877117715785,43.37479145093811,29.062039155860667,AAPL
2022-09-24,FY,2022,0.8793560286267226,0.8472353911496149,0.1535634035146965,56.400204905560855,8.07569806661716,64.47590297217802,104.6852773031054,-40.209374330927375,0.4330963056136008,0.3028874439552859,0.3020404333448296,0.2530964070519973,0.162044616844244,0.2829244092925685,1.969588727502368,0.6008713457059057,0.8379553831557559,0.997203546639651,0.3028874439552859,0.3755581069013904,2.614461635617304,0.6613535965140913,0.7233336245304447,0.9220335144927536,6.961536943479634,6.471607693822622,3.486641191608828,45.19733117670845,7.506148399131991,1.1178523337727315,7.532762624088375,6.872425646259799,2.9787931805221803,0.1487029448012584,0.309770039155221,0.9123380078754983,0.9220335144927536,5.786404547607769,11.407452372058277,4.781048181924929,0.1487029448012584,48.14034011071204,48.14034011071204,6.186137718067193,24.441823533260525,21.888923611981014,19.97009696269372,19.97009696269372,2.8871904048664,6.186137718067193,0.006083954603424,19.52031403229637,48.14034011071204,40.74957352439441,AAPL
2021-09-25,FY,2021,1.0745531195957954,1.022114901857652,0.2784485300563432,51.39096870839792,11.27659274770989,62.667561456107805,93.8510712223156,-31.18350976620781,0.4177935962516778,0.2978237752756159,0.2985290459437369,0.2588179335569424,0.1330226084408508,0.2697420527518361,1.5007132667617689,0.4830991348920943,0.8669773915591491,1.0023680804780215,0.2978237752756159,0.3889493507159503,2.163924552226977,0.6336151826987851,0.6839368374646815,0.76206032727326,5.563512442542399,7.102415252591931,3.889140478060004,32.367933130699086,7.386213580471258,1.042207736708053,6.229345884552985,5.56562398361035,3.750552652516527,0.1527989015631601,0.284399030116151,0.8934523923950864,0.76206032727326,6.663549606097483,9.385475868290484,4.071618659987476,0.1527989015631601,38.89286546584245,38.89286546584245,6.707591178758778,25.916253509083223,26.39775889148279,23.585140835463964,23.585140835463964,0.3634864369282435,6.707591178758778,0.0058958715429144,21.253174105611603,38.89286546584245,41.19054820415879,AAPL
2020-09-26,FY,2020,1.3636044481554577,1.325072111735236,0.3607104903597996,49.78753437881355,8.741883356235883,58.52941773504943,91.04818971567418,-32.51877198062476,0.3823324772781086,0.2414731435440686,0.2443983024607034,0.2091361127807223,0.144281647314841,0.1772557180259843,0.8786635853012749,0.3033831282952548,0.855718352685159,1.0121138064204682,0.2414731435440686,0.3775317393666946,1.871439722064923,0.6016060388034584,0.6517426459222778,0.6597589100246978,4.957039440456695,7.331152356789959,4.008866086627577,41.75301649839941,6.055121757543674,0.8475615027416885,4.649230448454163,4.2280138811865,5.241031369137106,0.2452665865426486,0.2938782944465694,0.909400798274537,0.6597589100246978,5.8591037838623,11.037624846080176,3.771575502571295,0.2452665865426486,29.818269660080503,29.818269660080503,7.0972293729668685,33.93593425162425,26.55620420254889,24.150233300939583,24.150233300939583,3.1708888566361435,7.0972293729668685,0.0072273415172269,26.27945181681837,29.818269660080503,23.07274625826662,AAPL
2024-06-30,FY,2024,1.2749549031815206,1.2650096579027186,0.1461855275130501,84.76293437553545,6.136357503305718,90.89929187884115,108.32690179992984,-17.42760992108866,0.6976444382797138,0.4464429957327371,0.4397279721934383,0.3595597294408498,0.1823132659782719,0.1720858398595759,0.3282813797829981,0.2828625118577739,0.8176867340217281,0.9849588332587064,0.4464429957327371,0.1310656958819751,0.2500288665323286,0.1371876657079041,0.2000184741540625,1.7660255932784126,1.907660618972948,4.3061274682032185,3.3694308056010183,59.481540930979136,1.5860163569542938,0.4786015389631816,15.953169156237385,9.967837437760732,10.164311667339524,0.2470159753108831,0.4836285604719282,0.6248186388635827,1.7660255932784126,13.257436815030196,2.665377610900016,1.7894577949523005,0.2470159753108831,12.641532161041727,12.641532161041727,13.846005784874473,38.50822172551512,45.82037005035709,28.629421247089788,28.629421247089788,1.749065024168257,13.846005784874473,0.0064146295061766,25.88375696381448,12.641532161041727,37.285519591141394,MSFT
2023-06-30,FY,2023,1.76916725076573,1.745163179675273,0.3332149132492871,83.85966071302173,13.854516192703034,97.71417690572476,100.27898820278456,-2.564811297059805,0.6892008588349102,0.417728806361041,0.4214472783899204,0.3414623787839464,0.1897862525332825,0.175643726819038,0.350887146438564,0.2875738645407972,0.8102137474667174,1.008901641381336,0.417728806361041,0.145554595413325,0.2907774593522546,0.1691692215959679,0.2252731152418591,1.4605519886600518,1.997720913768105,4.3525098586920805,3.639845261121857,26.3452,1.9267277041832216,0.5143867603938094,11.76228847703465,7.987510072522159,14.941713671770078,0.2736280593137187,0.4132883467427978,0.6790778927176817,1.4605519886600518,16.69182389937107,3.1160209200555022,1.828167073705304,0.2736280593137187,12.29572278552829,12.29572278552829,11.96546181251917,35.04181589530272,42.63406204287516,28.951849010070564,28.951849010070564,169.9528070922005,11.96546181251917,0.0078086152878395,24.35725546889861,12.29572278552829,44.98119918699187,MSFT
2022-06-30,FY,2022,1.7846069708251824,1.7452514671546664,0.1465156391325382,81.48113683361073,21.80095770151636,103.2820945351271,110.69433359936151,-7.412239064234427,0.684016744842891,0.4205527815604983,0.4222323094769758,0.3668633681343622,0.1311338334368579,0.1993695866681284,0.4367546925099975,0.309102973776496,0.8688661665631421,1.0039936198025976,0.4205527815604983,0.1679366297555092,0.3678951855988279,0.2202140710011518,0.2689498358295437,1.4531581524400197,2.1906786276134547,4.479564402069542,3.2973684210526315,16.742383752004276,2.264752244534302,0.5434437013485364,11.877668089647813,8.691168623265742,13.97398612593383,0.2493194753773818,0.449059363494225,0.7317234795305217,1.4531581524400197,32.388141142233536,3.727497278740685,2.1188215416101475,0.2493194753773818,11.559832834960549,11.559832834960549,9.709979724617943,26.4675641342902,29.55068657999356,21.62293120682877,21.62293120682877,1.3602317770280787,9.709979724617943,0.0094198118917325,19.678335577968657,11.559832834960549,40.41832283082889,MSFT
2021-06-30,FY,2021,2.0799936835218875,2.0502611186933914,0.1604385440517951,82.6096746942078,18.42050850053607,101.03018319474388,105.95985219788636,-4.929669003142493,0.689258007710247,0.415948788729713,0.4230046166293846,0.3645173956498976,0.138266152850834,0.1835675701586978,0.4315223821731414,0.2852293959742495,0.861733847149166,1.0169632129984554,0.415948788729713,0.2030535174471731,0.4773290700622588,0.2607178931803272,0.32310273975868,1.132275912947252,2.3507549933797223,4.418368688063507,3.4447009167051377,19.81487101669196,2.374023699560753,0.5035906992351227,10.16827878627269,7.435802305551875,17.259308334437524,0.269638164874084,0.4565465708438437,0.7312744331508991,1.132275912947252,9.506937561942518,3.7212685481524574,2.066068976657782,0.269638164874084,14.398979491224608,14.398979491224608,12.163166317643135,33.367862447160974,36.43184539719876,26.64167709147772,26.64167709147772,0.844351997575987,12.163166317643135,0.0080807742869674,24.87353938445488,14.398979491224608,29.80221653878943,MSFT
2020-06-30,FY,2020,2.515765454294012,2.489558843866685,0.1877471995574609,81.69782889906654,15.010959677069318,96.70878857613585,99.25452493597813,-2.54573635984228,0.6778100199279796,0.3703038142852148,0.3708422193476209,0.3096248645247002,0.165076551776152,0.1469611132683506,0.374298417635921,0.231260998860267,0.8349234482238479,1.001453954946279,0.3703038142852148,0.2356302956081922,0.6001318636732486,0.3349298973476799,0.3750515050025884,0.854601538071495,2.54692149039762,4.467682983974258,3.677414205905826,24.3155672823219,2.7032927566913654,0.4746424790332912,7.973061760840999,5.944021024967149,17.94047306176084,0.3418396151848422,0.4242561969024228,0.745512978986403,0.854601538071495,16.184315817551347,3.929473479696911,1.9842697364118,0.3418396151848422,13.09094451582364,13.09094451582364,10.82901164213544,34.97461891104537,34.23776583985498,25.52469880510919,25.52469880510919,2.51718736106256,10.82901164213544,0.0097739339506251,23.64498800182549,13.09094451582364,20.439598610575068,MSFT
